nome da empresa,ce
Agrenco Limited,AGEN
BRASIL AGROSEC COMPANHIA SECURITIZADORA,22250
Biosev,BSEV
Brasilagro,AGRO
CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES,21709
COSAN Indústria e Comércio,CSAN
COSAN Limited,CZLT
Clarion Agroindustrial,CLAN
Copersucar,COPR
Marambaia Energia Renovável,CTPC
NEXFUEL BIOENERGIA,22063
Nutriplant Indústria e Comércio,NUTR
Rasip Agro Pastoril,RSIP
Renar Maçãs,RNAR
SLC Agrícola,SLCE
São Martinho,SMTO
Usina Costa Pinto,UCOP
Vanguarda Agro,VAGR
BRF,BRFS
CONSERVAS ODERICH,ODER
Café Iguaçu,IGUA
Café Solúvel Brasília,CAFE
Companhia Cacique de Café Solúvel,CIQU
Excelsior Alimentos,BAUH
Indústrias JB Duarte,JBDU
International Meal Company Holdings,IMCH
J.Macêdo,JMCD
JBS,JBSS
Joaquim Oliveira Participações,JOPA
LAEP Investments Limited,MILK
M Dias Branco,MDIA
Marfrig Alimentos,MRFG
Minerva,BEEF
Minupar Participações,MNPR
Monticiano Participações,MONP
Predileto Alimentos,PENA
SOLA S/A Indústrias Alimentícias,SLAL
Tereos Internacional,TERI
Vigor Alimentos,VIGR
BFB Leasing S.A. Arrendamento Mercantil,BFBL
BMG Leasing Arrendamento Mercantil,MBMG
BV LEASING,BVLS
Bic Arrendamento Mercantil,LBIC
Bradesco Leasing Arrendamento Mercantil,BDLS
Companhia De Arrendamento Mercantil Renault Do Brasil,CAMR
Dibens Leasing - Arrendamento Mercantil,DBEN
HSBC Leasing Arrendamento Mercantil,LLAM
Mercantil do Brasil Leasing,MCBR
Panamericano Arrendamento Mercantil,PANA
REP - REAL ESTATE PARTNERS DESENVIMENTO IMOBILIARIO,21539
Safra Leasing - Arrendamento Mercantil,SFLS
Santander Leasing Arrendamento Mercantil,SUAM
BANCO BTG PACTUAL,BPAC
BANESE,BGIP
BANESTES,BEES
BANPARÁ,BPAR
BICBANCO,BICB
BRB,BSLI
Banco ABC Brasil,ABCB
Banco Alfa de Investimento,BRIV
Banco BERJ,BEGB
Banco Bradesco,BBDC
Banco Cruzeiro do Sul,CZRS
Banco Daycoval,DAYC
Banco Industrial do Brasil,BIND
Banco Indusval,IDVL
Banco Mercantil de Investimentos,BMIN
Banco Mercantil do Brasil,BMEB
Banco Panamericano,BPNM
Banco Patagonia,BPAT
Banco Pine,PINE
Banco Santander Brasil,SANB
Banco Sofisa,SFSA
Banco do Brasil,BBAS
Banco do Nordeste do Brasil,BNBR
Banrisul,BRSR
"FINANSINOS S/A-CRÉDITO, FINAN. E INVEST.",FNCN
Itaú Unibanco Holding,ITUB
Mercantil do Brasil Financeira,MERC
Paraná Banco,PRBC
AMBEV,AMBV
CERVEJASONLINE PARTICIPAÇÕES,22098
Souza Cruz,CRUZ
BM&F Bovespa,BVMF
BRZ Investimentos,BRZI
AQUA-RIO,22101
Bicicletas Monark,BMKS
Estrela,ESTR
Serra Azul Water Park,SAWP
T4F Entretenimento,SHOW
Bematech,BEMA
Digitel Indústria Eletrônica,DIGI
Editora Abril,EABR
Gradiente,IGBR
Itautec,ITEC
Positivo Informática,POSI
Senior Solution,SNSL
Totvs,TOTS
B2W,BTOW
BR Malls Participações,BRML
Casual Dining Participações,CSDN
Companhia Brasileira de Distribuição,PCAR
Dimed Distribuidora de Medicamentos,PNVL
Dufry AG,DAGB
Eletrosom,RDEL
Empreendimentos Pague Menos,PGMN
Grazziotin,CGRA
Hypermarcas,HYPE
Iguatemi Empresa de Shopping Centers,IGTA
Le Lis Blanc Deux,LLIS
Lojas Americanas,LAME
Lojas Renner,LREN
Magazine Luiza,MGLU
Marisa,AMAR
Multiplus,MPLU
Profarma,PFRM
Raia Drogasil,RADL
SDV - Administradora de Shopping Centers,SDVA
SNB Participações,SNBP
Technos,TECN
Ultrapar Participações,UGPA
Via Varejo,VVAR
Votorantim Finanças,VTRF
AZEVEDO & TRAVASSOS,AZEV
Aliansce Shopping Centers,ALSC
Brasil Brokers Participações,BBRK
Brookfield Incorporações,BISA
Brookfield São Paulo Empreendimentos Imobiliários,CPNY
CCDI,CCIM
CCP,CCPR
CONCEPA,CNCP
CR2 Empreendimentos Imobiliários,CRDE
Cecrisa Revestimentos Ceramicos,CRCS
Cerâmica Chiarelli,CCHI
Cimento Tupi,CTUP
Construtora Adolpho Lindenberg,CALI
Construtora Lix Da Cunha,LIXC
Construtora Sultepa,SULT
Construtora Tenda,TEND
Correa Ribeiro Comércio e Indústria,CORR
Cyrela Brasil Realty,CYRE
Direcional Engenharia,DIRR
Dommo Empreendimentos Imobiliários,CALA
Duratex,DTEX
ENERGIPAR Participações,ENRG
EZTEC Empreendimentos e Participacoes,EZTC
Eternit,ETER
Eucatex,EUCA
Even Construtora e Incorporadora,EVEN
FAE ADM. E PARTICIPAÇÕES,21660
Gafisa,GFSA
Helbor Empreendimentos,HBOR
IND AZULEJOS BAHIA,6955
JHSF Participações,JHSF
João Fortes Engenharia,JFEN
LPS Brasil Consultoria de Imóveis,LPSB
MCM CIMENTOS,DOMO
MOURA DUBEUX ENGENHARIA,MDNE
MRV Engenharia e Participações,MRVE
Mendes Junior Engenharia,MEND
Metrópolis Empreendimentos Imobiliários,MTRP
Mills Estruturas e Serviços de Engenharia,MILS
Multiplan Empreendimentos Imobiliários,MULT
Obrascon Huarte Lain Brasil,OHLB
One Properties,WTOR
PDG Realty Empreendimentos e Participações,PDGR
PORTUENSE FERRAGENS,9717
Portobello,PTBL
Rioest Estacionamentos,RIOE
Rodobens Negócios Imobiliários,RDNI
Rossi Residencial,RSID
Sergen Serviços Gerais de Engenharia,SGEN
Sonae Sierra Brasil,SSBR
Sondotécnica Engenharia de Solos,SOND
TGLT,TGLT
Tecnisa,TCSA
Tecnosolo Engenharia,TCNO
Trisul Incorporadora e Construtora,TRIS
UNICASA INDÚSTRIA DE MÓVEIS,UCAS
Viver Incorporadora e Construtora,VIVR
Betapart Participações,BETP
Neumarkt Trade and Financial Center,NMRT
Anhanguera Educacional Participações,AEDU
CELPAR,CLPA
Estácio Participações,ESTC
Kroton Educacional,KROT
CONPEL CIA NORDESTINA PAPEL,NPEL
DIXIE TOGA,DXTG
Petropar,PTPA
Pronor Petroquímica,PNOR
521 Participações,QVUM
AES Elpa,AELP
AES Sul,AESL
AES Tietê,GETI
Afluente Geração de Energia Elétrica,AFLU
Afluente Transmissão de Energia Elétrica,AFLT
Alupar Investimento,ALUP
Ampla Energia e Serviços,CBEE
Ampla Investimentos e Serviços,AMPI
Baesa-energetica Barra Grande,BESA
Bonaire Participações,BNPA
CEB,CEBR
CEEE Distribuição,CEED
CEEE Geração e Transmissão,EEEL
CELESC,CLSC
CELGPAR,GPAR
CELPA,CELP
CELPE,CEPE
CEMAR,ENMA
CEMAT,CMGR
CEMIG,CMIG
CESP,CESP
COELBA,CEEB
COELCE,COCE
COPEL,CPLE
COSERN,CSRN
CPFL Energia,CPFE
CPFL Geração de Energia,CPFG
CPFL Piratininga,CPFP
CTEEP,TRPL
Cachoeira Paulista Transmissora de Energia,CPTE
Cemig Distribuição,CMGD
Cemig Geração e Transmissão,CMGT
Companhia Brasiliana de Energia,ENGP
Companhia Hidroelétrica do São Francisco,CHSF
Desenvix Energias Renováveis,DVIX
Dinâmica Energia,DNEN
Duke Energy – Geração Paranapanema,GEPA
EDP Bandeirante Energia,EBEN
EDP no Brasil,ENBR
EMAE,EMAE
ENERSUL,ENER
ERSA,CPRE
ESCELSA,ESCE
Elektro Eletricidade e Serviços,EKTR
Eletrobrás,ELET
Eletropar,LIPR
Energisa,ENGI
Energisa Minas Gerais - Distribuidora de Energia,FLCL
Energisa Paraíba - Distribuidora de Energia,SAEL
Energisa Sergipe - Distribuidora de Energia,ENSE
Equatorial Energia,EQTL
Ferreira Gomes Energia,FGEN
ITASA,ITAE
Inepar Energia,IENG
Investco,INVT
Isolux Infrastructure,22624
Itapebi Geração de Energia,ITPB
LIGHT,LIGT
LIGHT – Serviços de Eletricidade,LIGH
MPX Energia,MPXE
MULTINER,MLTN
Machadinho Energética,MACH
NEOENERGIA,GNAN
OMEGA ENERGIA RENOVÁVEL,22110
Produtores Energéticos de Manso,PRMN
RGE,RGEG
Rede Energia,REDE
Redentor Energia,RDTR
Renova Energia,RNEW
Rio Monsarás Participações,22969
Subestação Eletrometrô,ELMT
TAESA,TAEE
Termopernambuco,TMPE
Tractebel Energia,TBLE
UPTICK PARTICIPACOES,UPKP
VBC Energia,NCNE
ALL ORE MINERAÇÃO,AORE
Bradespar,BRAP
COMPANHIA AURIFERA BRASILEIRA,22870
CP Cimento e Participações,CPCM
Camargo Corrêa Cimentos,CCCI
Carbomil Mineração e Indústria,CRML
Centennial Asset Participações Amapá,CCXC
Centennial Asset Participações Minas Rio,CTMI
LITEL PARTICIPACOES,LTEL
MMX Mineração e Metálicos,MMXM
Magnesita Refratários,MAGG
Manabi Holding,MNBI
Nadir Figueiredo Indústria e Comércio,NAFG
Vale,VALE
Redfactor - Factoring e Fomento Comercial,REDF
BIOMM Technology,BIOM
BRAZIL PHARMA,BPHA
Bombril,BOBR
DROGARIAS AMERICANAS,22837
Droga Raia,RAIA
INTERCOSMETIC HOLDING,22888
Natura Cosméticos,NATU
Abril Educação,ABRE
MAORI,MAOR
Saraiva Livreiros Editores,SLED
VALID,VLID
BHG,BHGR
Brasil Travel Turismo e Participações,BTUR
HOPI HARI,PQTM
HOTEIS E TURISMO GUANABARA,6696
Hotéis Othon,HOOT
Marina de Iracema Park,IRCM
SAUIPE,PSEG
São Paulo Turismo,AHEB
Taipe Trancoso Empreendimentos,TAIP
WTC Amazonas Suite Hotel,SNPL
Alfa Holdings,RPAD
Banco da Amazônia,BAZA
CADIP,CADP
CETIP,CTIP
Cielo,CIEL
Consorcio Alfa de Administração,BRGE
Financeira Alfa,CRIV
INVESC,IVSC
Tarpon Investimentos,TRPN
Baumer,BALM
CSN,CSNA
Confab Industrial,CNFB
Electro Aço Altona,EALT
FAE,FAEL
FIBAM Companhia Industrial,FBMC
Ferbasa,FESA
Forjas Taurus,FJTA
Gazola Indústria Metalúrgica,GAZO
Gerdau,GGBR
Haga Indústria e Comércio,HAGA
Hércules Fábrica de Talheres,HETA
Kepler Weber,KEPL
Mangels Industrial,MGEL
Metalgráfica Iguaçu,MTIG
Metalúrgica Duque,DUQE
Metalúrgica Gerdau,GOAU
Metalúrgica Riosulense,RSUL
Metisa Metalúrgica Timboense,MTSA
Nordon Indústrias Metalúrgicas,NORD
Panatlântica,PATI
Paranapanema,PMAM
Rimet,REEM
SIDERURGICA J L ALIPERTI,APTI
Schulz,SHUL
Seiva - Florestas e Indústrias,SVFI
Tekno Indústria e Comércio,TKNO
Tupy,TUPY
USIMINAS,USIM
Vicunha Siderurgia,VSID
Wetzel,MWET
AES Eletropaulo,ELPL
Autometal,AUTM
Bardella Indústrias Mecânicas,BDLL
Brasmotor,BMTO
Cobrasma,CBMA
DHB Indústria e Comércio,DHBI
Embraer,EMBR
Fras-Le,FRAS
IVI,VRLM
Indústria de Máquinas Agrícolas Fuchs,FUCH
Indústrias Romi,ROMI
Inepar Equipamentos e Montagens,INFM
Inepar Indústria e Construções,INEP
Iochpe-Maxion,MYPK
Lark Máquinas e Equipamentos,LARK
MAHLE Metal Leve,LEVE
MINASMAQUINAS,MMAQ
Marcopolo,POMO
Metalfrio Solutions,FRIO
Plascar Participações Industriais,PLAS
Pró Metalurgia,PMET
Randon Implementos e Participações,RAPT
Recrusul,RCSL
Springer,SPRI
Tec Toy,TOYB
WEG,WEGE
WLM Indústria e Comércio,SGAS
Whirlpool,WHRL
Celulose Irani,RANI
Companhia Melhoramentos de São Paulo,MSPA
Eldorado Celulose e Papel,ELDC
Fibria Celulose,FIBR
Iguaçu Celulose Papel,IGCP
Klabin,KLBN
Santher - Fábrica de Papel Santa Therezinha,STTZ
Suzano Holding,NEMO
Suzano Papel e Celulose,SUZB
Braskem,BRKM
Companhia Providência Indústria e Comércio,PRVI
Elekeiroz,ELEK
Fertilizantes Heringer,FHER
GPC Participações,GPCP
M&G Poliéster,RHDS
METANOR,MTNR
Millennium Inorganic Chemicals do Brasil,TIBR
QGN PARTICIPAÇÕES,QGNP
UNIPAR Participações,UNIP
Vale Fertilizantes,FFTL
Yara Brasil Fertilizantes,ILMD
BTG PACTUAL STIGMA PARTICIPAÇÕES,STGM
Companhia De Recuperação Secundária,CRSC
HRT Participações em Petróleo,HRTP
Karoon Petróleo e Gás,KRBR
Lupatech,LUPA
Manguinhos Refinaria de Petróleos,RPMG
OGX Petróleo e Gás Participações,OGXP
PETROBRAS,PETR
PETROLUSA,PTRL
Pacific Rubiales Energy Corp.,PREB
Perenco Petróleo e Gás do Brasil Participações,PEOG
QGEP Participações,QGEP
Seabras Serviços de Petróleo,SEAB
FLORESTAL BRASIL,21423
POTHENCIA S/A - REFLORESTADORA,22152
CAGECE,CAEC
CAGEPA,CGPA
CASAN,CASN
CEDAE,CEAE
CEG,CEGR
COMGÁS,CGAS
COPASA,CSMG
CORSAN,RSAN
SABESP,SBSP
SANASA,SNAS
SANEAGO,SNGO
SANEPAR,SAPR
SANESALTO Saneamento,SNST
3A COMPANHIA SECURITIZADORA,21954
ACRUX SECURITIZADORA,ACRX
ALTERE Securitizadora,ALTR
AUREA SECURITIES COMPANHIA SECURITIZADORA,22950
Aetatis Securitizadora,AETA
Aster Securitizadora,ASTE
BI Companhia Securitizadora de Créditos Imobiliários,BICS
BRC Securitizadora,BRCS
BRPR 44 Securitizadora de Créditos Imobiliários,WTCJ
BRPR 45 Securitizadora de Créditos Imobiliários,FDCS
BRPR 51 Securitizadora de Créditos Imobiliários,WTSC
BRPR 52 Securitizadora de Créditos Imobiliários,WTTS
BRPR 55 Securitizadora de Créditos Imobiliários,WTVP
BRPR 56 Securitizadora de Créditos Imobiliários,WTVR
BTG Pactual Securitizadora,BTSE
Beta Securitizadora,BTSC
Brazil Realty Companhia Securitizadora de Créditos Imobiliários,BZRS
Brazilian Securities Companhia de Securitização,BSCS
CIBRASEC,CBSC
CSA,CSAT
Companhia Paulista de Securitização,CPSC
Companhia Província - Securitização e Crédito Imobiliario,PVSC
ECO Securitizadora de Direitos Creditórios do Agronegócio,ECOA
FG Trust,FGTR
FORTE CAPITAL SECURITIES,22489
Feniciapar,FNEP
Fibra Companhia Securitizadora de Créditos Imobiliários,FBSC
Focus Companhia Créditos Imobiliários,FOCS
GAIA Securitizadora,GAIA
Gaia Florestal Securitizadora,GAFL
HabitaSec Securitizadora,HBSC
Imigrantes Companhia Securitizadora de Créditos Imobiliários,IMIG
Imowel Securitizadora,IMWL
Infrasec Securitizadora,IFSC
MBK Securitizadora,22861
Matone Securitizadora,MTNS
Metaltrust,MTLT
NSG CAPITAL SECURITIZADORA,21695
Nova Securitização,NSEC
OCTANTE SECURITIZADORA,OCTS
PDG Companhia Securitizadora,PDGS
PLURAL CAPITAL SECURITIZADORA,22233
PORTFOLIO SECURITIZADORA,22276
Polo Capital Securitizadora,PLSC
Pátria Companhia Securitizadora de Créditos Imobiliários,NOOS
RB Capital - Securitizadora Residencial,RBRA
RB Capital Securitizadora,RBCS
REIT SECURITIZADORA DE RECEBÍVEIS IMOBILIÁRIOS,22802
Safra Companhia Securitizadora de Créditos Imobiliários,SFRS
TC Securities Companhia de Securitização,TCSC
TFA Securitizadora,TFAS
TRX Securitizadora de Créditos Imobiliários,TRXS
Uni Cidade SP Trust de Recebíveis,UNCI
UniverCidade Trust de Recebíveis,UNIT
Vision Securitizadora,VSON
WTorre PIC Securitizadora de Créditos Imobiliários,WTPI
WTorre TC Securitizadora de Créditos Imobiliários,WTTC
Wtorre NSBC Securitizadora de Créditos Imobiliários,WTNS
Áquilla Securitizadora,AQSC
Brasil Insurance,BRIN
Companhia de Seguros Aliança da Bahia,CSAB
Itauseg Participações,ITSP
Porto Seguro,PSSA
SUL AMERICA,SULA
524 PARTICIPAÇOES,QVQP
ALEF,ALEF
ANDRADE GUTIERREZ CONCESSOES,ANDG
ARAUCÁRIA PARTICIPAÇÕES,VDNP
ATIVOS BRASILEIROS,22918
ATLETAS BRASILEIROS,22934
Alium Participações,ALIU
Allis Participações,SAGP
Andrade Gutierrez Participações,CANT
BELAPART,PBEL
BFRE,BFRE
BGPAR,BGPR
BNDESPar,BNDP
BOMBRIL HOLDING,15334
BR Properties,BRPR
BTG Pactual Participations,BBTG
Bahema,BAHI
Basel Participações,BSEL
Battistella Administração e Participações,BTTL
Belmonte Participações,BLMT
Berna Participações,BRNA
Bolero Participações,BLRO
CHP,HBTS
CIMS,CMSA
CSU Cardsystem,CARD
CTX Participações,CTXP
Cabinda Participações,CABI
Caconde Participações,CACO
Caianda Participações,CAIA
Cemepe Investimentos,MAPT
Companhia de Participações Aliança da Bahia,PEAB
Copacabana Prince Participações,BJUL
EKOPARKING,22896
ELETRON,ETRO
Egeu Participações,22713
FORPART,FPRT
Frigol Foods Participações,22853
FutureTel,FTRT
"GP Investments,",GPIV
GTD PARTICIPACOES,GTDP
Gama Participações,OPGM
General Shopping Brasil,GSHP
Harpia Ômega Participações,HPIA
Hauscenter,HAUS
ITAITINGA PARTICIPACOES,SQRM
Ideiasnet,IDNT
Investimentos BEMGE,FIGE
Invitel Legacy,IVLG
Itaúsa,ITSA
Liga Futebol,BITY
MGI Minas Gerais Participações,MGIP
Monteiro Aranha,MOAR
MÊNFIS PARTICIPAÇÕES,22462
Nantes Participações,NTES
Naomi Participações,NAOM
Newtel Participações,NEWT
Nisa Participações,NISA
Noah Participações,NOAH
Nova Ação Participações,NSAM
OSX Brasil,OSXB
Opportunity Energia e Participações,OPHE
Opportunity Sudeste,OPSE
PARTICIPAÇÕES INDUSTRIAIS DO NORDESTE,1597
PATMOS PARTICIPAÇÕES,22748
PLAY BEVERAGE SOUTH AMERICA,22900
POLPAR,PPAR
PROMPT Participações,PRPT
Parcom Participações,PCPA
Pascro Participações,22209
Privatinvest Participações,PRVT
Providax Participações,PVDX
QUALICORP,QUAL
RJCP Equity,RJCP
ROPASC PARTICIPAÇÕES,22195
Redecard,RDCD
Setiba Participações,SETI
Shopping Center Tacaruna,TCRN
Sul 116 Participações,OPTS
São Carlos Empreendimentos e Participações,SCAR
Trevisa Investimentos,LUXM
VALETRON,VLTR
VOSTOK PARTICIPAÇÕES,22322
WTC Rio Empreendimentos e Participações,WTCR
XX de Novembro Securitizadora de Créditos Imobiliários,VDNS
ACCIONA CONCESSÕES RODOVIA DO AÇO,22446
AGV HOLDING,21806
ALL,ALLL
ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE,FRRN
ALL - América Latina Logística Malha Oeste,FROE
ALL - América Latina Logística Malha Paulista,GASC
ALL - América Latina Logística Malha Sul,ALLB
AUTOPISTA FERNÃO DIAS,APFD
AUTOPISTA FLUMINENSE,APFL
AUTOPISTA LITORAL SUL,APLS
AUTOPISTA PLANALTO SUL,APPS
AUTOPISTA REGIS BITTENCOURT,APRB
Autovias,AVIA
BANRISUL ARMAZENS GERAIS,15822
CCR,CCRO
CCR AutoBAn,ANHB
CCR NovaDutra,NDUT
CCR RodoNorte,RDNT
CCR ViaOeste,VOES
CENTROVIAS - Sistemas Rodoviários,CVIA
CONCESSIONARIA RIO-TERESOPOLIS,CRTE
Centennial Asset Participações Açu,CTLG
Comercial Quintella Comércio e Exportação,QTLA
Companhia Docas De Imbituba,IMBI
Companhia de Locação das Américas,LCAM
Concessionária Auto Raposo Tavares,RPTA
Concessionária Rodovias do Tietê,RDVT
Concessionária Rota das Bandeiras,CRBD
Concessão Metroviária do Rio de Janeiro,MGPR
EBX Brasil,EBXG
ECONORTE,ECNT
ECOPISTAS,ASCP
ECORODOVIAS CONCESSÕES E SERVIÇOS,ERDV
ECOVIAS,ECOV
Ecorodovias Infraestrutura e Logística,ECOR
FERROVIA NORTE SUL,21814
Ferrovia Centro Atlântica,VSPT
Gol Linhas Aéreas Inteligentes,GOLL
Gruçaí Participações,GRUC
Hidrovias do Brasil,HBSA
INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR,IVPR
Intervias,IVIA
JSL,JSLG
LAN Airlines,LATM
LLX Logística,LLXL
Localiza Rent a Car,RENT
Log-In Logística Intermodal,LOGN
MRS LOGÍSTICA,MRSA
Portx Operações Portuárias,PRTX
Santos Brasil,STBR
Santos Brasil Participações,STBP
TAM,TAMM
TGMC,MNZC
TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA,22225
TRANSNORDESTINA LOGISTICA,20443
Tegma Gestão Logística,TGMA
Terminais Portuários da Ponta do Félix,TPPF
Triunfo Participações e Investimentos (TPI),TPIS
UNIDAS,UNID
ViaRondon Concessionária de Rodovia,VRDN
Viabahia Concessionária de Rodovias,VIAB
Vianorte,VIAN
Vix Logística,VIXL
Wilson Sons,WSON
Amil Participações,AMIL
DASA,DASA
Fleury,FLRY
Odontoprev,ODPV
Tempo Participações,TEMP
ANDRADE GUTIERREZ TELECOMUNICAÇÕES E PARTICIPAÇÕES,22756
Americel,AMCE
COARI Participações,COAR
Capitalpart Participações,CPTP
Companhia de Telecomunicações do Brasil Central,CTBC
Contax Participações,CTAX
DTCOM,DTCY
Daleth Participações,OPDL
Docas Investimentos,DOCA
EMPRESA DE INFOVIAS,18716
Embratel Participações,EBTP
Inepar Telecomunicações,INET
Jereissati Participações,MLFT
LF TEL,PITI
LONGDIS,SPRT
La Fonte Telecom,LFFE
Net Serviços de Comunicação,NETC
Oi,OIBR
RET PARTICIPAÇÕES,OPRE
Selectpart Participações,SLCT
TELEBRÁS,TELB
TELEMAR Participações,TLMP
TIM Participações,TIMP
Tele Norte Celular Participações,TNCP
Tele Norte Leste Participações,TNLP
Telefónica,TEFC
Telefônica Brasil,VIVT
Telemar Norte Leste,TMAR
Telinvest,TLVT
UOL,UOLL
VIVO Participações,VIVO
ZAIN PARTICIPAÇÕES,OPZI
AREZZO INDÚSTRIA E COMERCIO,ARZZ
Alpargatas,ALPA
Buddemeyer,BUDD
Buettner Indústria e Comércio,BUET
COMPANHIA INDUSTRIAL CATAGUASES,CATA
COTEMINAS,CTNM
Cachoeira Velonorte,CTCM
Cambuci,CAMB
Cedro Cachoeira,CEDO
Companhia Hering,HGTX
Companhia Industrial Schlosser,SCLO
Cremer,CREM
Döhler,DOHL
ENCORPAR,ECPR
Fiação Tecelagem São José,SJOS
Grendene,GRND
Guararapes Confecções,GUAR
Inbrands,INBD
Karsten,CTKA
Lojas Hering,LHER
Marisol,MRSL
Mundial,MNDL
PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO,19798
Pettenati Indústria Têxtil,PTNT
Renaux,FTRX
Santanense,CTSA
Springs Global Participações,SGPS
Tecblu,TENE
Teka Tecelagem Kuehnrich,TEKA
Têxtil RenauxView,TXRX
UNITEXTIL,UNTX
Vicunha Têxtil,VINE
Vulcabras / Azaleia,VULC
Wembley,WMBY
